Date,RAT,MAT,OAT,SFS
2019-05-23 23:30:00,,,52.1,
2019-05-23 23:30:00,,70.2,,
2019-05-23 23:30:00,71.67,,,
2019-05-23 23:35:00,,,52.02,
2019-05-23 23:40:00,,,51.94,
2019-05-23 23:45:00,,,51.9,
2019-05-23 23:45:00,,70.01,,
2019-05-23 23:45:00,71.51,,,
2019-05-23 23:50:00,,,51.89,
2019-05-23 23:55:00,,,51.76,
2019-05-24 00:00:00,,,51.74,
2019-05-24 00:00:00,,69.84,,
2019-05-24 00:00:00,71.48,,,
2019-05-24 00:05:00,,,51.66,
2019-05-24 00:10:00,,,51.67,
2019-05-24 00:15:00,,,51.44,
2019-05-24 00:15:00,,69.9,,
2019-05-24 00:15:00,71.41,,,
2019-05-24 00:20:00,,,51.53,
2019-05-24 00:25:00,,,51.34,
2019-05-24 00:30:00,,,51.19,
2019-05-24 00:30:00,,69.84,,
2019-05-24 00:30:00,71.32,,,
2019-05-24 00:35:00,,,51.13,
2019-05-24 00:40:00,,,51.2,
2019-05-24 00:45:00,,,50.99,
2019-05-24 00:45:00,,69.83,,
2019-05-24 00:45:00,71.35,,,
2019-05-24 00:50:00,,,50.91,
2019-05-24 00:55:00,,,50.87,
2019-05-24 01:00:00,,,50.71,
2019-05-24 01:00:00,,70.96,,
2019-05-24 01:00:00,72.78,,,
2019-05-24 01:05:00,,,50.61,
2019-05-24 01:09:00,,,,Off
2019-05-24 01:10:00,,,50.6,
2019-05-24 01:15:00,,,50.55,
2019-05-24 01:15:00,,74.8,,
2019-05-24 01:15:00,73.06,,,
2019-05-24 01:20:00,,,50.77,
2019-05-24 01:25:00,,,51.89,
2019-05-24 01:30:00,,,52.71,
2019-05-24 01:30:00,,81.45,,
2019-05-24 01:30:00,72.5,,,
2019-05-24 01:35:00,,,51.92,
2019-05-24 01:40:00,,,52.7,
2019-05-24 01:45:00,,,53.11,
2019-05-24 01:45:00,,78.62,,
2019-05-24 01:45:00,72.27,,,
2019-05-24 01:50:00,,,52.12,
2019-05-24 01:55:00,,,51.34,
2019-05-24 02:00:00,,,51.14,
2019-05-24 02:00:00,,76.36,,
2019-05-24 02:00:00,72.2,,,
2019-05-24 02:05:00,,,50.99,
2019-05-24 02:10:00,,,51.28,
2019-05-24 02:15:00,,,50.96,
2019-05-24 02:15:00,,74.61,,
2019-05-24 02:15:00,72.2,,,
2019-05-24 02:20:00,,,50.76,
2019-05-24 02:25:00,,,50.66,
2019-05-24 02:30:00,,,50.41,
2019-05-24 02:30:00,,73.36,,
2019-05-24 02:30:00,71.17,,,
2019-05-24 02:35:00,,,50.16,
2019-05-24 02:40:00,,,49.96,
2019-05-24 02:45:00,,,49.82,
2019-05-24 02:45:00,,71.79,,
2019-05-24 02:45:00,70.18,,,
2019-05-24 02:50:00,,,49.61,
2019-05-24 02:55:00,,,49.56,
2019-05-24 03:00:00,,,49.48,
2019-05-24 03:00:00,,70.41,,
2019-05-24 03:00:00,69.84,,,
2019-05-24 03:05:00,,,49.25,
2019-05-24 03:10:00,,,49.1,
2019-05-24 03:15:00,,,49.15,
2019-05-24 03:15:00,,69.34,,
2019-05-24 03:15:00,69.66,,,
2019-05-24 03:20:00,,,48.99,
2019-05-24 03:25:00,,,48.92,
2019-05-24 03:30:00,,,48.83,
2019-05-24 03:30:00,,68.55,,
2019-05-24 03:30:00,69.26,,,
2019-05-24 03:35:00,,,48.67,
2019-05-24 03:40:00,,,48.57,
2019-05-24 03:45:00,,,48.44,
2019-05-24 03:45:00,,67.9,,
2019-05-24 03:45:00,69.06,,,
2019-05-24 03:50:00,,,48.45,
2019-05-24 03:55:00,,,48.51,
2019-05-24 04:00:00,,,48.37,
2019-05-24 04:00:00,,67.62,,
2019-05-24 04:00:00,70.83,,,
2019-05-24 04:00:00,,,,On
2019-05-24 04:05:00,,,48.27,
2019-05-24 04:10:00,,,48.23,
2019-05-24 04:15:00,,,48.03,
2019-05-24 04:15:00,,70.96,,
2019-05-24 04:15:00,73.26,,,
2019-05-24 04:20:00,,,48.14,
2019-05-24 04:25:00,,,47.89,
2019-05-24 04:30:00,,,47.89,
2019-05-24 04:30:00,,72.56,,
2019-05-24 04:30:00,74.81,,,
2019-05-24 04:35:00,,,47.79,
2019-05-24 04:40:00,,,47.66,
2019-05-24 04:45:00,,,47.54,
2019-05-24 04:45:00,,70.96,,
2019-05-24 04:45:00,75.76,,,
2019-05-24 04:50:00,,,47.4,
2019-05-24 04:55:00,,,47.25,
2019-05-24 05:00:00,,,47.16,
2019-05-24 05:00:00,,69.96,,
2019-05-24 05:00:00,76.41,,,
2019-05-24 05:05:00,,,47.08,
2019-05-24 05:10:00,,,46.96,
2019-05-24 05:15:00,,,47.03,
2019-05-24 05:15:00,,70.79,,
2019-05-24 05:15:00,77.29,,,
2019-05-24 05:20:00,,,47.11,
2019-05-24 05:25:00,,,47.05,
2019-05-24 05:30:00,,,46.99,
2019-05-24 05:30:00,,70.44,,
2019-05-24 05:30:00,77.85,,,
2019-05-24 05:35:00,,,46.91,
2019-05-24 05:40:00,,,47.13,
2019-05-24 05:45:00,,,47.37,
2019-05-24 05:45:00,,70.42,,
2019-05-24 05:45:00,78.37,,,
2019-05-24 05:50:00,,,48.15,
2019-05-24 05:55:00,,,48.65,
2019-05-24 06:00:00,,,49.22,
2019-05-24 06:00:00,,70.36,,
2019-05-24 06:00:00,78.85,,,
2019-05-24 06:05:00,,,48.88,
2019-05-24 06:10:00,,,48.69,
2019-05-24 06:15:00,,,47.96,
2019-05-24 06:15:00,,70.18,,
2019-05-24 06:15:00,79.12,,,
2019-05-24 06:20:00,,,47.56,
2019-05-24 06:25:00,,,47.1,
2019-05-24 06:30:00,,,46.87,
2019-05-24 06:30:00,,70.26,,
2019-05-24 06:30:00,79.38,,,
2019-05-24 06:35:00,,,46.74,
2019-05-24 06:40:00,,,46.82,
2019-05-24 06:45:00,,,46.6,
2019-05-24 06:45:00,,70.43,,
2019-05-24 06:45:00,79.73,,,
2019-05-24 06:50:00,,,46.5,
2019-05-24 06:55:00,,,46.66,
2019-05-24 07:00:00,,,47.82,
2019-05-24 07:00:00,,70.37,,
2019-05-24 07:00:00,79.9,,,
2019-05-24 07:05:00,,,48.07,
2019-05-24 07:10:00,,,47.47,
2019-05-24 07:15:00,,,49.04,
2019-05-24 07:15:00,,70.46,,
2019-05-24 07:15:00,80.1,,,
2019-05-24 07:20:00,,,50.32,
2019-05-24 07:25:00,,,51.42,
2019-05-24 07:30:00,,,51.98,
2019-05-24 07:30:00,,70.55,,
2019-05-24 07:30:00,80.25,,,
2019-05-24 07:35:00,,,51.47,
2019-05-24 07:40:00,,,51.38,
2019-05-24 07:45:00,,,50.09,
2019-05-24 07:45:00,,70.51,,
2019-05-24 07:45:00,80.58,,,
2019-05-24 07:50:00,,,48.97,
2019-05-24 07:55:00,,,48.33,
2019-05-24 08:00:00,,,48.04,
2019-05-24 08:00:00,,70.62,,
2019-05-24 08:00:00,80.81,,,
2019-05-24 08:05:00,,,48.05,
2019-05-24 08:10:00,,,48.11,
2019-05-24 08:15:00,,,48.06,
2019-05-24 08:15:00,,70.68,,
2019-05-24 08:15:00,80.87,,,
2019-05-24 08:20:00,,,48.14,
2019-05-24 08:25:00,,,48.14,
2019-05-24 08:30:00,,,48.19,
2019-05-24 08:30:00,,70.61,,
2019-05-24 08:30:00,80.95,,,
2019-05-24 08:35:00,,,48.19,
2019-05-24 08:40:00,,,48.26,
2019-05-24 08:45:00,,,48.16,
2019-05-24 08:45:00,,70.54,,
2019-05-24 08:45:00,80.96,,,
2019-05-24 08:50:00,,,48.15,
2019-05-24 08:55:00,,,48.1,
2019-05-24 09:00:00,,,47.93,
2019-05-24 09:00:00,,70.49,,
2019-05-24 09:00:00,81.08,,,
2019-05-24 09:05:00,,,48.03,
2019-05-24 09:10:00,,,48.2,
2019-05-24 09:15:00,,,48.03,
2019-05-24 09:15:00,,70.38,,
2019-05-24 09:15:00,80.93,,,
2019-05-24 09:20:00,,,48.11,
2019-05-24 09:25:00,,,48.15,
2019-05-24 09:30:00,,,48.03,
2019-05-24 09:30:00,,70.18,,
2019-05-24 09:30:00,81.06,,,
2019-05-24 09:35:00,,,48.02,
2019-05-24 09:40:00,,,47.97,
2019-05-24 09:45:00,,,47.93,
2019-05-24 09:45:00,,69.89,,
2019-05-24 09:45:00,81.16,,,
2019-05-24 09:50:00,,,48.02,
2019-05-24 09:55:00,,,47.92,
2019-05-24 10:00:00,,,47.79,
2019-05-24 10:00:00,,69.51,,
2019-05-24 10:00:00,81.12,,,
2019-05-24 10:05:00,,,47.82,
2019-05-24 10:10:00,,,47.97,
2019-05-24 10:15:00,,,47.94,
2019-05-24 10:15:00,,68.96,,
2019-05-24 10:15:00,81.21,,,
2019-05-24 10:20:00,,,48.02,
2019-05-24 10:25:00,,,48.24,
2019-05-24 10:30:00,,,48.08,
2019-05-24 10:30:00,,56.0,,
2019-05-24 10:30:00,80.71,,,
2019-05-24 10:35:00,,,48.22,
2019-05-24 10:40:00,,,48.51,
2019-05-24 10:45:00,,,48.6,
2019-05-24 10:45:00,,67.9,,
2019-05-24 10:45:00,78.62,,,
2019-05-24 10:50:00,,,48.61,
2019-05-24 10:55:00,,,48.68,
2019-05-24 11:00:00,,,48.66,
2019-05-24 11:00:00,,67.38,,
2019-05-24 11:00:00,77.97,,,
2019-05-24 11:05:00,,,48.73,
2019-05-24 11:10:00,,,48.88,
2019-05-24 11:15:00,,,48.9,
2019-05-24 11:15:00,,62.25,,
2019-05-24 11:15:00,77.92,,,
2019-05-24 11:20:00,,,49.05,
2019-05-24 11:25:00,,,48.99,
2019-05-24 11:30:00,,,48.67,
2019-05-24 11:30:00,,67.38,,
2019-05-24 11:30:00,77.81,,,
2019-05-24 11:35:00,,,48.67,
2019-05-24 11:40:00,,,48.77,
2019-05-24 11:45:00,,,48.76,
2019-05-24 11:45:00,,61.38,,
2019-05-24 11:45:00,78.18,,,
2019-05-24 11:50:00,,,49.02,
2019-05-24 11:55:00,,,48.94,
2019-05-24 12:00:00,,,49.19,
2019-05-24 12:00:00,,67.5,,
2019-05-24 12:00:00,77.14,,,
2019-05-24 12:05:00,,,49.68,
2019-05-24 12:10:00,,,49.84,
2019-05-24 12:15:00,,,49.34,
2019-05-24 12:15:00,,62.34,,
