Date,OAT,RAT,MAT
9/19/17 10:30:00 PM CDT,68.49577,72.82409,71.73422
9/19/17 10:40:00 PM CDT,68.14983,72.82409,71.43306
9/19/17 10:50:00 PM CDT,67.84013,72.82409,71.43306
9/19/17 11:00:00 PM CDT,67.52674,72.82409,71.43306
9/19/17 11:10:00 PM CDT,67.52674,72.82409,71.13429
9/19/17 11:20:00 PM CDT,67.2224,72.52601,71.13429
9/19/17 11:30:00 PM CDT,67.2224,72.52601,70.83684
9/19/17 11:40:00 PM CDT,66.9231,72.52601,70.83684
9/19/17 11:50:00 PM CDT,66.61567,72.52601,70.83684
9/20/17 12:00:00 AM CDT,66.31779,72.52601,70.83684
9/20/17 12:10:00 AM CDT,66.31779,72.52601,70.537
9/20/17 12:20:00 AM CDT,66.31779,72.52601,70.537
9/20/17 12:30:00 AM CDT,66.00907,72.52601,70.537
9/20/17 12:40:00 AM CDT,65.69609,72.52601,70.537
9/20/17 12:50:00 AM CDT,65.69609,72.52601,70.537
9/20/17 1:00:00 AM CDT,65.38221,72.52601,70.537
9/20/17 1:10:00 AM CDT,65.38221,72.52601,70.23787
9/20/17 1:20:00 AM CDT,65.38221,72.52601,70.23787
9/20/17 1:30:00 AM CDT,65.0761,72.52601,70.23787
9/20/17 1:40:00 AM CDT,64.76413,72.52601,70.23787
9/20/17 1:50:00 AM CDT,64.76413,72.52601,70.23787
9/20/17 2:00:00 AM CDT,64.76413,72.52601,70.23787
9/20/17 2:10:00 AM CDT,64.76413,72.52601,69.93835
9/20/17 2:20:00 AM CDT,64.76413,72.52601,69.93835
9/20/17 2:30:00 AM CDT,64.46221,72.52601,69.93835
9/20/17 2:40:00 AM CDT,63.85313,72.52601,69.93835
9/20/17 2:50:00 AM CDT,63.53337,72.52601,69.93835
9/20/17 3:00:00 AM CDT,63.22603,72.52601,69.64044
9/20/17 3:10:00 AM CDT,63.54215,72.52601,69.64044
9/20/17 3:20:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 3:30:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 3:40:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 3:50:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 4:00:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 4:10:00 AM CDT,63.83991,72.52601,69.64044
9/20/17 4:20:00 AM CDT,64.14078,72.52601,69.64044
9/20/17 4:30:00 AM CDT,64.14078,72.52601,69.64044
9/20/17 4:40:00 AM CDT,64.14078,72.52601,69.64044
9/20/17 4:50:00 AM CDT,64.14078,72.82527,69.64044
9/20/17 5:00:00 AM CDT,63.81322,72.52338,69.64044
9/20/17 5:10:00 AM CDT,63.50209,72.52338,69.64044
9/20/17 5:20:00 AM CDT,63.50209,72.52338,69.64044
9/20/17 5:30:00 AM CDT,63.50209,72.52338,69.64044
9/20/17 5:40:00 AM CDT,63.50608,72.52338,69.93938
9/20/17 5:50:00 AM CDT,65.15153,72.52338,69.93938
9/20/17 6:00:00 AM CDT,65.75918,72.52338,70.23642
9/20/17 6:10:00 AM CDT,65.75918,72.52338,70.23642
9/20/17 6:20:00 AM CDT,66.06561,72.52338,70.53397
9/20/17 6:30:00 AM CDT,66.36325,72.52338,70.53397
9/20/17 6:40:00 AM CDT,66.36325,72.52338,70.53397
9/20/17 6:50:00 AM CDT,66.36325,72.52338,70.53397
9/20/17 7:00:00 AM CDT,66.36325,72.82038,70.53397
9/20/17 7:10:00 AM CDT,66.66183,72.82038,70.53397
9/20/17 7:20:00 AM CDT,67.32977,72.82038,70.12623
9/20/17 7:30:00 AM CDT,67.62853,72.82038,70.12623
9/20/17 7:40:00 AM CDT,68.22948,72.82038,70.42487
9/20/17 7:50:00 AM CDT,69.16408,72.82038,70.72414
9/20/17 8:00:00 AM CDT,69.80486,72.82038,71.02359
