Date,OAT,RAT,MAT
9/20/2017 16:20,88.34819,72.55394,81.61646
9/20/2017 16:30,89.02831,72.55394,82.52046
9/20/2017 16:40,90.03287,72.55394,83.12333
9/20/2017 16:50,89.67774,72.55394,82.22728
9/20/2017 17:00,88.32391,72.55394,81.63094
9/20/2017 17:10,87.38164,72.55394,81.33348
9/20/2017 17:20,87.07652,72.55394,81.03537
9/20/2017 17:30,86.77419,72.55394,80.7371
9/20/2017 17:40,86.77419,72.55394,80.7371
9/20/2017 17:50,86.476,72.25115,80.7371
9/20/2017 18:00,86.78118,72.25115,80.7371
9/20/2017 18:10,86.46998,72.25115,80.43776
9/20/2017 18:20,85.83494,72.25115,80.14044
9/20/2017 18:30,85.22591,72.25115,79.83938
9/20/2017 18:40,84.61923,72.25115,79.54204
9/20/2017 18:50,83.98225,72.25115,78.94528
9/20/2017 19:00,82.27533,72.25115,77.74911
9/20/2017 19:10,81.66255,72.25115,77.45006
9/20/2017 19:20,81.02409,72.25115,76.85271
9/20/2017 19:30,80.34392,72.25115,76.25526
9/20/2017 19:40,79.70096,72.25115,75.65974
9/20/2017 19:50,78.42142,72.25115,75.06386
9/20/2017 20:00,77.81647,72.55019,74.76473
9/20/2017 20:10,76.77839,72.55019,74.16662
9/20/2017 20:20,75.76147,72.55019,73.8696
9/20/2017 20:30,75.08741,72.55019,73.56924
9/20/2017 20:40,74.48379,72.55019,73.56924
9/20/2017 20:50,73.81385,72.55019,72.67226
9/20/2017 21:00,73.49818,72.55019,72.37327
9/20/2017 21:10,73.49818,72.55019,72.37327
9/20/2017 21:20,73.49818,72.55019,72.67499
9/20/2017 21:30,73.49818,72.55019,72.37698
9/20/2017 21:40,73.49818,72.55019,72.37698
9/20/2017 21:50,73.49818,72.55019,72.37698
9/20/2017 22:00,73.49818,72.55019,72.37698
9/20/2017 22:10,73.49818,72.55019,72.07748
9/20/2017 22:20,73.49818,72.55019,72.07748
9/20/2017 22:30,73.49818,72.55019,72.07748
9/20/2017 22:40,73.8107,72.55019,72.07748
9/20/2017 22:50,73.8107,72.55019,72.07748
9/20/2017 23:00,73.8107,72.55019,72.07748
9/20/2017 23:10,73.8107,72.55019,72.07748
9/20/2017 23:20,73.50385,72.55019,72.07748
9/20/2017 23:30,73.50385,72.55019,72.07748
9/20/2017 23:40,73.50385,72.55019,72.07748
9/20/2017 23:50,73.50385,72.55019,71.78016
9/21/2017 0:00,72.83306,72.55019,71.78016
9/21/2017 0:10,72.21225,72.55019,71.78016
9/21/2017 0:20,72.21225,72.55019,71.78016
9/21/2017 0:30,72.21225,72.55019,71.48122
9/21/2017 0:40,71.91392,72.55019,71.18318
9/21/2017 0:50,71.91392,72.55019,71.18318
9/21/2017 1:00,71.61487,72.55019,71.18318
9/21/2017 1:10,71.61487,72.55019,70.88442
9/21/2017 1:20,71.61487,72.55019,70.58729
9/21/2017 1:30,71.29505,72.55019,70.58729
9/21/2017 1:40,71.29505,72.84805,70.58729
9/21/2017 1:50,71.59259,72.84805,70.58729
9/21/2017 2:00,71.59259,72.84805,70.58729
9/21/2017 2:10,71.59259,72.84805,70.58729
9/21/2017 2:20,71.59259,72.84805,70.58729
9/21/2017 2:30,71.59259,72.84805,70.58729
9/21/2017 2:40,71.28596,72.84805,70.58729
9/21/2017 2:50,71.28596,72.84805,70.58729
9/21/2017 3:00,71.28596,72.84805,70.28986
9/21/2017 3:10,70.98539,72.84805,70.28986
9/21/2017 3:20,70.67523,72.84805,69.99252
9/21/2017 3:30,70.67523,72.84805,69.99252
9/21/2017 3:40,70.67523,72.84805,69.99252
9/21/2017 3:50,70.67523,72.84805,69.99252
9/21/2017 4:00,70.37257,72.84805,69.69428
9/21/2017 4:10,70.37257,72.84805,69.39532
9/21/2017 4:20,70.37257,72.84805,69.39532
9/21/2017 4:30,70.37257,72.84805,69.39532
9/21/2017 4:40,69.76895,72.84805,69.39532
9/21/2017 4:50,69.76895,72.84805,69.39532
9/21/2017 5:00,69.76895,72.84805,69.39532
9/21/2017 5:10,69.76895,72.84805,69.39532
9/21/2017 5:20,69.76895,72.84805,69.39532
9/21/2017 5:30,70.0946,72.84805,69.39532
9/21/2017 5:40,70.0946,72.84805,69.39532
9/21/2017 5:50,70.0946,72.84805,69.39532
9/21/2017 6:00,70.0946,72.84805,69.39532
9/21/2017 6:10,70.0946,72.84805,69.39532
9/21/2017 6:20,70.0946,72.84805,69.39532
9/21/2017 6:30,70.0946,72.84805,69.39532
9/21/2017 6:40,70.0946,72.84805,69.69364
9/21/2017 6:50,70.0946,72.84805,69.69364
9/21/2017 7:00,70.39203,72.55018,69.69364
9/21/2017 7:10,70.39203,72.55018,69.69364
9/21/2017 7:20,70.39203,72.55018,69.69364
9/21/2017 7:30,70.68941,72.55018,69.99152
9/21/2017 7:40,70.68941,72.55018,69.99152
9/21/2017 7:50,70.99579,72.55018,70.29005
9/21/2017 8:00,71.29533,72.55018,70.29005
